Ano;Países;Código ISIC Classe;Descrição ISIC Classe;Valor US$ FOB;chave;atividade_cod;atividade_desc;cnae2_4cod;cnae2_cod;isic4_sec;isic4_cod; isic4_desc;cnae2_desc;brl_usd;Valor RS$ FOB
2022;Estados Unidos;2410;Fabricação de ferro e aço básicos;7267463725;241;2491;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;2411;241;C;241;Fabricación básica de hierro y acero;Produção de ferro-gusa e de ferroligas;5.1648;37534996646.88
2022;Estados Unidos;0610;Extração de petróleo bruto;5064284191;06;0680;Extração de petróleo e gás, inclusive as atividades de apoio;0600;06;B;06;EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL;EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL;5.1648;26156014989.6768
2022;Estados Unidos;3030;Fabricação de aviões e máquinas relacionadas;2393371609;30;3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3011;30;C;30;FABRICACIÓN DE OTRO  EQUIPO DE TRANSPORTE;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;5.1648;12361285686.163198
2022;Estados Unidos;2011;Fabricação de produtos químicos básicos;1735064778;201;1992;Fabricação de biocombustíveis;1931;193;C;201;Fabricación de sustancias químicas básicas, de abonos y compuestos de nitrógeno y de plásticos y caucho sintético en formas primarias;Fabricação de biocombustíveis;5.1648;8961262565.4144
2022;Estados Unidos;0127;Cultivo de bebidas da safra;1727238889;012;0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0111;011;A;012;Cultivo de plantas perennes;Produção de lavouras temporárias;5.1648;8920843413.9072
2022;Estados Unidos;1701;Fabricação de polpa, papel e cartão;1379586072;17;1700;Fabricação de celulose, papel e produtos de papel;1710;17;C;17;FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL;5.1648;7125286144.6656
2022;Estados Unidos;2824;Fabricação de máquinas para mineração, exploração de pedreiras e construção;1318215574;28;2800;Fabricação de máquinas e equipamentos mecânicos;2811;28;C;28;FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;5.1648;6808319796.5952
2022;Estados Unidos;2420;Fabricação de metais preciosos e outros metais não ferrosos;1191742347;242;2492;Metalurgia de metais não ferosos e a fundição de metais;2441;244;C;242;Fabricación de productos primarios de metales preciosos y otros metales no ferrosos;Metalurgia dos metais não-ferrosos;5.1648;6155110873.7856
2022;Estados Unidos;1610;Serração e aplainamento de madeira;1107942117;16;1500;Fabricação de calçados e de artefatos de couro;1510;15;C;16;"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES";PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;5.1648;5722299445.881599
2022;Estados Unidos;1010;Processamento e conservação de carne;1104244755;101;1091;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;1011;101;C;101;Elaboración y conservación de carne;Abate e fabricação de produtos de carne;5.1648;5703203310.624
2022;Estados Unidos;2930;Fabricação de peças e acessórios para veículos automotores;792273712;293;2992;Fabricação de peças e acessórios para veículos automotores;2941;294;C;293;Fabricación de partes, piezas y accesorios para vehículos automotores;Fabricação de peças e acessórios para veículos automotores;5.1648;4091935267.7376
2022;Estados Unidos;2396;Corte, moldagem e acabamento de pedra;744443514;23;2300;Fabricação de produtos de minerais não metálicos;2311;23;C;23;FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;5.1648;3844901861.1071997
2022;Estados Unidos;1030;Processamento e conservação de frutas e legumes;729048769;103;1093;Outros produtos alimentares;1031;103;C;103;Elaboración y conservación de frutas, legumbres y hortalizas;Fabricação de conservas de frutas, legumes e outros vegetais;5.1648;3765391082.1312
2022;Estados Unidos;2710;Fabricação de motores elétricos, geradores, transformadores e aparelhos de distribuição e controle de energia elétrica;696897144;27;2700;Fabricação de máquinas e equipamentos elétricos;2710;27;C;27;FABRICACIÓN DE EQUIPO ELÉCTRICO;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS;5.1648;3599334369.3311996
2022;Estados Unidos;1920;Fabricação de produtos petrolíferos refinados;663661072;192;1991;Refino de petróleo e coquerias;1921;192;C;192;Fabricación de productos de la refinación del petróleo;Fabricação de produtos derivados do petróleo;5.1648;3427676704.6656
2022;Estados Unidos;1621;Fabricação de folheados e painéis derivados de madeira;650170247;16;1500;Fabricação de calçados e de artefatos de couro;1510;15;C;16;"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES";PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;5.1648;3357999291.7056
2022;Estados Unidos;2029;Fabricação de outros produtos químicos n.c;532662330;202;2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2051;205;C;202;Fabricación de otros productos químicos;Fabricação de defensivos agrícolas e desinfestantes domissanitários;5.1648;2751094401.9839997
